Family_ID	COG_ID	Gene	Description
OG3691	COG0772	FtsW	"Bacterial cell division protein FtsW, lipid II flippase [Cell cycle control, cell division, chromosome partitioning]."
OG4449*	COG0206	FtsZ	"Cell division GTPase FtsZ [Cell cycle control, cell division, chromosome partitioning]."
OG2545	COG0771	MurD	UDP-N-acetylmuramoylalanine-D-glutamate ligase [Cell wall/membrane/envelope biogenesis].
OG2602	COG1207	GlmU	"Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase [Cell wall/membrane/envelope biogenesis]."
OG3799	COG0438	RfaB	Glycosyltransferase involved in cell wall bisynthesis [Cell wall/membrane/envelope biogenesis].
OG4486	COG0438	RfaB	Glycosyltransferase involved in cell wall bisynthesis [Cell wall/membrane/envelope biogenesis].
OG5750	COG0451	WcaG	Nucleoside-diphosphate-sugar epimerase [Cell wall/membrane/envelope biogenesis].
OG7226	COG0812	MurB	UDP-N-acetylenolpyruvoylglucosamine reductase [Cell wall/membrane/envelope biogenesis].
OG8607	COG0084	TatD	Tat protein secretion system quality control protein TatD (DNase activity) [Cell motility].
OG425*	COG0542	ClpA	"ATP-dependent Clp protease ATP-binding subunit ClpA [Posttranslational modification, protein turnover, chaperones]."
OG1182*	COG0443	DnaK	"Molecular chaperone DnaK (HSP70) [Posttranslational modification, protein turnover, chaperones]."
OG1291*	COG0465	HflB	"ATP-dependent Zn proteases [Posttranslational modification, protein turnover, chaperones]."
OG1903*	COG0459	GroEL	"Chaperonin GroEL (HSP60 family) [Posttranslational modification, protein turnover, chaperones]."
OG2491	COG0719	SufB	"Fe-S cluster assembly scaffold protein SufB [Posttranslational modification, protein turnover, chaperones]."
OG2661	COG0544	Tig	"FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor) [Posttranslational modification, protein turnover, chaperones]."
OG2975*	COG1219	ClpX	"ATP-dependent protease Clp, ATPase subunit [Posttranslational modification, protein turnover, chaperones]."
OG4543	COG0484	DnaJ	"DnaJ-class molecular chaperone with C-terminal Zn finger domain [Posttranslational modification, protein turnover, chaperones]."
OG6664	COG0755	CcmC	"ABC-type transport system involved in cytochrome c biogenesis, permease component [Posttranslational modification, protein turnover, chaperones]."
OG9714	COG0396	SufC	"Fe-S cluster assembly ATPase SufC [Posttranslational modification, protein turnover, chaperones]."
OG12234*	COG0740	ClpP	"ATP-dependent protease ClpP, protease subunit [Posttranslational modification, protein turnover, chaperones]."
OG17759*	COG0691	SmpB	"tmRNA-binding protein [Posttranslational modification, protein turnover, chaperones]."
OG25376*	COG0278	GrxD	"Glutaredoxin-related protein [Posttranslational modification, protein turnover, chaperones]."
OG25557*	COG0526	TrxA	"Thiol-disulfide isomerase or thioredoxin [Posttranslational modification, protein turnover, chaperones]."
OG907	COG0642	BaeS	Signal transduction histidine kinase [Signal transduction mechanisms].
OG1352*	COG1217	TypA	Predicted membrane GTPase involved in stress response [Signal transduction mechanisms].
OG2082*	COG0467	RAD55	"RecA-superfamily ATPase, KaiC/GvpD/RAD55 family [Signal transduction mechanisms]."
OG4587	COG0642	BaeS	Signal transduction histidine kinase [Signal transduction mechanisms].
OG10988*	COG0664	Crp	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases [Signal transduction mechanisms].
OG18366	COG0394	Wzb	Protein-tyrosine-phosphatase [Signal transduction mechanisms].
OG265	COG0653	SecA	"Preprotein translocase subunit SecA (ATPase, RNA helicase) [Intracellular trafficking, secretion, and vesicular transport]."
OG2397	COG0541	Ffh	"Signal recognition particle GTPase [Intracellular trafficking, secretion, and vesicular transport]."
OG2511	COG0342	SecD	"Preprotein translocase subunit SecD [Intracellular trafficking, secretion, and vesicular transport]."
OG3395*	COG0201	SecY	"Preprotein translocase subunit SecY [Intracellular trafficking, secretion, and vesicular transport]."
OG1420	COG1132	MdlB	"ABC-type multidrug transport system, ATPase and permease component [Defense mechanisms]."
OG1560	COG1132	MdlB	"ABC-type multidrug transport system, ATPase and permease component [Defense mechanisms]."
OG8574	COG0842	YadH	"ABC-type multidrug transport system, permease component [Defense mechanisms]."
OG14048*	COG0450	AhpC	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin) [Defense mechanisms].
OG15254*	COG1403	McrA	5-methylcytosine-specific restriction endonuclease McrA [Defense mechanisms].
OG1373	COG0768	FtsI	"Cell division protein FtsI/penicillin-binding protein 2 [Cell cycle control, cell division, chromosome partitioning, Cell wall/membrane/envelope biogenesis]."
OG783*	COG1185	Pnp	"Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase) [Translation, ribosomal structure and biogenesis]."
OG891*	COG0480	FusA	"Translation elongation factor EF-G, a GTPase [Translation, ribosomal structure and biogenesis]."
OG935*	COG0595	RnjA	"mRNA degradation ribonuclease J1/J2 [Translation, ribosomal structure and biogenesis]."
OG972	COG0445	MnmG	"tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA [Translation, ribosomal structure and biogenesis]."
OG2488	COG0154	GatA	"Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase [Translation, ribosomal structure and biogenesis]."
OG2515	COG0621	MiaB	"tRNA A37 methylthiotransferase MiaB [Translation, ribosomal structure and biogenesis]."
OG3424	COG0172	SerS	"Seryl-tRNA synthetase [Translation, ribosomal structure and biogenesis]."
OG3654	COG0162	TyrS	"Tyrosyl-tRNA synthetase [Translation, ribosomal structure and biogenesis]."
OG4878*	COG0539	RpsA	"Ribosomal protein S1 [Translation, ribosomal structure and biogenesis]."
OG5039	COG0216	PrfA	"Protein chain release factor A [Translation, ribosomal structure and biogenesis]."
OG5194	COG0012	GTP1	"Ribosome-binding ATPase YchF, GTP1/OBG family [Translation, ribosomal structure and biogenesis]."
OG5390	COG0533	TsaD	"tRNA A37 threonylcarbamoyltransferase TsaD [Translation, ribosomal structure and biogenesis]."
OG5757	COG0223	Fmt	"Methionyl-tRNA formyltransferase [Translation, ribosomal structure and biogenesis]."
OG5935	COG0016	PheS	"Phenylalanyl-tRNA synthetase alpha subunit [Translation, ribosomal structure and biogenesis]."
OG6058	COG1600	QueG	"Epoxyqueuosine reductase QueG (queuosine biosynthesis) [Translation, ribosomal structure and biogenesis]."
