Organism	Taxonomy_ID	Genome_Size	GC%	Completeness(Contamination)	Refseq Category	Assembly Level	Ecotype
Prochlorococcus_marinus_str_AS9601	146891	1.67	31.32	99.64	representative genome	Complete genome	HLII
Prochlorococcus_marinus_str_MED4	59919	1.66	30.8	99.46	representative genome	Complete genome	HLI
Prochlorococcus_marinus_str_MIT_9107	59921	1.7	31.02	99.46	representative genome	Contig	HLII
Prochlorococcus_marinus_str_MIT_9201	93057	1.67	31.28	100	representative genome	Contig	HLII
Prochlorococcus_marinus_str_MIT_9301	167546	1.64	31.34	99.46	representative genome	Complete genome	HLII
Prochlorococcus_marinus_str_MIT_9303	59922	2.68	50.01	99.73	reference	Complete genome	LLIV
Prochlorococcus_marinus_str_MIT_9312	74546	1.71	31.21	99.73	representative genome	Complete genome	HLII
Prochlorococcus_marinus_str_MIT_9313	74547	2.41	50.74	99.18	representative genome	Complete genome	LLIV
Prochlorococcus_marinus_str_MIT_9515	167542	1.7	30.79	100	representative genome	Complete genome	HLI
Prochlorococcus_marinus_str_NATL2A	59920	1.84	35.12	98.64	representative genome	Complete genome	LLI
Prochlorococcus_marinus_str_SS120	167539	1.75	36.44	100	reference	Complete genome	LLII/III
Prochlorococcus_sp_MIT_0601	1499498	1.71	37.02	99.73	representative genome	Contig	LLII/III
Prochlorococcus_sp_MIT_0603	1499500	1.75	36.35	100	representative genome	Contig	LLII/III
Synechococcus_sp_CC9311	64471	2.61	52.45	99.73	representative genome	Complete genome	Synechococcus_5.1
Synechococcus_sp_CC9902	316279	2.23	54.16	99.46	representative genome	Complete genome	Synechococcus_5.1
Synechococcus_sp_KORDI-100	1280380	2.79	57.5	99.46	representative genome	Complete genome	Synechococcus_5.1
Synechococcus_sp_KORDI-49	585423	2.59	61.37	99.37	representative genome	Complete genome	Synechococcus_5.1
Synechococcus_sp_KORDI-52	585425	2.57	59.09	100	representative genome	Complete genome	Synechococcus_5.1
Synechococcus_sp_RS9916	221359	2.66	59.8	99.73	representative genome	Scaffold	Synechococcus_5.1
Synechococcus_sp_WH_7803	32051	2.37	60.24	99.18	representative genome	Complete genome	Synechococcus_5.1
Synechococcus_sp_WH_8102	84588	2.43	59.41	99.46	representative genome	Complete genome	Synechococcus_5.1
Prochlorococcus_marinus_str_EQPAC1	190047	1.65	30.79	99.46	na	Contig	HLI
Prochlorococcus_marinus_str_GP2	59925	1.62	31.16	99.46	na	Contig	HLII
Prochlorococcus_marinus_str_LG	167556	1.75	36.43	99.86	na	Contig	LLII/III
Prochlorococcus_marinus_str_MIT_9116	167544	1.69	31.01	99.18	na	Contig	HLII
Prochlorococcus_marinus_str_MIT_9123	167545	1.7	31.02	99.18	na	Contig	HLII
Prochlorococcus_marinus_str_MIT_9202	93058	1.69	31.08	98.78	na	Scaffold	HLII
Prochlorococcus_marinus_str_MIT_9211	93059	1.69	38.01	99.73	na	Chromosome	LLII/III
